ID,Name,Company,Version,Plugin Name,Plugin Type,Instrument Type,Synthesis Type,Gentle/ Aggressive,Acoustic/Electronic,Vintage/Modern,Quiet/Loud,Warm/Clean,Dark/Bright,Static/Dynamic,Thin/Thick,Low/Mid/High,Slow/Fast,Single/Split,One_Shot/Sequential,Atonal/Tonal,Monophonic/Polyphonic,특징
109,SY Augustines Bell Chapel [JL],Xfer,,Serum,VST,Synth,,Gentle,Acoustic,Vintage,Quiet,Warm,Bright,Static,Thick,Mid,Fast,Single,One_Shot,,,
110,SY Big Sleepy [FP],Xfer,,Serum,VST,Synth,,Gentle,Electronic,Vintage,Quiet,Warm,Bright,Static,Thin,Mid,Fast,Single,One_Shot,Tonal,,80S synth
111,SY Buzzz Saw [IM],Xfer,,Serum,VST,Synth,,Aggressive,Electronic,Modern,Quiet,Clean,Bright,Static,Thick,Mid,Fast,Single,One_Shot,Tonal,,Snail bass
112,SY cHello [GS],Xfer,,Serum,VST,Synth,,Gentle,Acoustic,Modern,Quiet,Warm,Dark,Static,Thick,Low,Slow,Single,One_Shot,Tonal,,Cello type sound
113,SY Chord Rampensau [FN],Xfer,,Serum,VST,Synth,,Gentle,Electronic,Vintage,Quiet,Warm,Bright,Static,Thick,Low,Fast,Single,One_Shot,Tonal,Polyphonic,80s synth
114,SY crappy keys [GI],Xfer,,Serum,VST,Synth,,Aggressive,Electronic,Modern,Loud,Warm,Bright,Static,Thick,Low,Fast,Single,One_Shot,Tonal,Polyphonic,David Guetta sweat type bass
115,SY CRAZYFEST [BS],Xfer,,Serum,VST,Synth,,Aggressive,Electronic,Modern,Loud,Clean,Bright,Static,Thick,High,Fast,Single,One_Shot,,,
116,SY CrazyLayer [SD],Xfer,,Serum,VST,Synth,,Gentle,Electronic,Modern,Quiet,Warm,Dark,Static,Thin,High,Fast,Single,One_Shot,,,
117,SY Dirtypure [GS],Xfer,,Serum,VST,Synth,,Gentle,Acoustic,Modern,Quiet,Clean,Bright,Static,Thin,High,Fast,Single,One_Shot,,,
118,SY Drawbar Organ [ASL],Xfer,,Serum,VST,Synth,,Gentle,Acoustic,Vintage,Quiet,Warm,Dark,Static,Thin,Low,Fast,Single,One_Shot,,,
119,SY Eiano [LT],Xfer,,Serum,VST,Synth,,Gentle,Acoustic,Vintage,Quiet,Warm,Dark,Static,Thick,Low,Fast,Single,One_Shot,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
